"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SOD25",0,2.00226030904321,0.688,0.166,0,"19","SOD2"
"C10orf544",0,2.18139904286382,0.644,0.141,0,"19","C10orf54"
"LRRC253",0,4.04781675265414,0.538,0.038,0,"19","LRRC25"
"RHOC3",0,3.66837169432396,0.538,0.043,0,"19","RHOC"
"DUSP63",0,2.38630267101784,0.576,0.089,0,"19","DUSP6"
"KLF43",0,2.70758454263118,0.548,0.075,0,"19","KLF4"
"CFP3",0,2.4767548511189,0.522,0.081,0,"19","CFP"
"SLC7A74",0,2.21962520854063,0.529,0.09,0,"19","SLC7A7"
"SLC2A63",0,4.11768347837608,0.468,0.03,0,"19","SLC2A6"
"C5AR13",0,2.30882805465259,0.508,0.079,0,"19","C5AR1"
"PLXNB23",0,3.20288685509268,0.476,0.048,0,"19","PLXNB2"
"RXRA3",0,2.56649486237633,0.498,0.074,0,"19","RXRA"
"RHOB3",0,3.15717311742097,0.465,0.051,0,"19","RHOB"
"CD300E3",0,2.53869674324457,0.486,0.072,0,"19","CD300E"
"CD863",0,2.4853044899713,0.486,0.073,0,"19","CD86"
"LMO23",0,2.72292066899529,0.473,0.062,0,"19","LMO2"
"SECTM13",0,3.25861486049687,0.452,0.042,0,"19","SECTM1"
"SLC11A13",0,2.20272441557165,0.484,0.077,0,"19","SLC11A1"
"TNFAIP23",0,2.2029746531694,0.468,0.076,0,"19","TNFAIP2"
"INSIG14",0,2.84580240761017,0.447,0.056,0,"19","INSIG1"
"LILRA13",0,3.74769053132168,0.407,0.032,0,"19","LILRA1"
"MARCKS4",0,2.71404217865478,0.417,0.054,0,"19","MARCKS"
"SCRN13",0,2.36993755020904,0.425,0.063,0,"19","SCRN1"
"AC104809.4",0,7.21156934240984,0.342,0.001,0,"19","AC104809.4"
"HMOX13",0,3.09611715841594,0.37,0.036,0,"19","HMOX1"
"HK33",0,2.86878511418076,0.36,0.041,0,"19","HK3"
"SCIMP4",0,2.83464503044405,0.332,0.039,0,"19","SCIMP"
"ALDH3B13",0,3.01053458147214,0.326,0.036,0,"19","ALDH3B1"
"CD300LF3",0,3.52442048832278,0.304,0.024,0,"19","CD300LF"
"CXCL161",0,3.78465382075049,0.284,0.017,0,"19","CXCL16"
"LILRA33",0,3.45623603627938,0.283,0.025,0,"19","LILRA3"
"CTSL1",0,4.03075735966427,0.258,0.013,0,"19","CTSL"
"CKB",0,7.04428437569409,0.245,0.002,0,"19","CKB"
"FAM26F1",0,3.72948506712261,0.228,0.016,0,"19","FAM26F"
"VMO1",0,7.52826649525218,0.172,0.001,0,"19","VMO1"
"HES4",0,5.37027168024031,0.158,0.002,0,"19","HES4"
"LYPD2",0,6.76252292067441,0.112,0,0,"19","LYPD2"
"TPPP3",0,4.55265918981712,0.115,0.004,0,"19","TPPP3"
"C1QA",0,3.89297374853454,0.107,0.003,0,"19","C1QA"
"NAMPTL3",2.56914135837448e-322,2.18483185960499,0.402,0.059,5.15112842354084e-319,"19","NAMPTL"
