,C1 A,C1 B,C2,C3,C4,C5,C7,H1,H2,H3,H4,H5,H6
REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS,0.292745946440825,0.330337079877132,0.149111099634395,0.213401528334192,0.25034107345109,0.269513050398578,0.279566186387419,0.141866471531087,0.194041371991606,0.13812560325248,0.178614447007719,0.152579172574196,0.122893763362138
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,0.10612051194604,0.0448786726200753,0.0799895140481917,0.0715342570329053,0.0400814165600413,0.133196754013553,0.160279607816375,0.157112328499192,0.134091443270591,0.0983479929641226,0.117824747373273,0.136278868669102,0.11052394668723
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM,-0.0655327663831916,0.0700350175087544,-0.179589794897449,-0.170585292646323,-0.141570785392696,-0.132066033016508,0.273636818409205,0.0810405202601301,0.0105052526263131,-0.0495247623811906,-0.185092546273137,-0.181590795397699,-0.176588294147074
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,0.327079856856188,0.401409279759617,0.143769076397421,0.239945351232651,0.326837288458259,0.265911490535077,0.380752252729792,0.286366136059976,0.253954880608382,0.211711797968038,0.154818953399474,0.228751724362343,0.118568003803373
REACTOME_DISEASES_OF_DNA_REPAIR,0.0570021260281964,-0.00973792837277038,0.0882001928146676,0.0952670063577011,-0.0241741667689072,-0.00205153651578835,0.0412796066614531,0.0799531439516407,0.0903969317429254,0.0983815319040768,0.138722012838548,0.0629436611229957,0.151577071070318
REACTOME_DISEASES_OF_GLYCOSYLATION,0.118961051785173,0.0763660885830054,0.0845681376752973,0.0806762340755724,0.0694844224074714,0.120446350665665,0.144787898880166,0.125327967318917,0.113607999783826,0.0867980430432551,0.0898572127433561,0.10474292343761,0.0900426804756316
REACTOME_DISEASES_OF_HEMOSTASIS,-0.0244182231993732,-0.113553141318847,-0.0249381554691257,-0.0578974541013581,-0.0697392504343659,-0.0576185897738054,-0.046160857613316,-0.0510658669786043,-0.0472750761255217,-0.0371387247466532,-0.0279820796531562,-0.0626816108157165,-0.00340635929381613
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,0.232556877081399,0.284835301509934,0.132261699190113,0.1680603331946,0.187927922920811,0.180178849807112,0.28373549522782,0.204504624569685,0.163507759695708,0.120124895098239,0.040333106277273,0.132112022564348,0.073750152546635
REACTOME_DISEASES_OF_METABOLISM,0.107449357228687,0.110162538895871,0.0529201594490468,0.0614592968604164,0.0641660762384693,0.0853419136984512,0.151984598425413,0.106440935066068,0.0919304151097642,0.0615465008180654,0.0574210365706877,0.0739208939691675,0.0519173199091588
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE,-0.0469030709779866,-0.0268729223863804,-0.032578924741945,0.00484356847959015,0.00461586874145884,0.00836835793977102,-0.0285516905174606,-0.0618076471766873,-0.0389975928602172,-0.0442011518518059,-0.018390731296707,0.0198673001296766,-0.024622674071621
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,0.159446596100921,0.192375389851121,0.147552734085761,0.192622790592712,0.164686790106516,0.19493574692423,0.197705991012666,0.164809529139987,0.161111683229885,0.148598008537106,0.13436137542721,0.156598467279547,0.121298636540365
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,0.231922245016658,0.250352140824595,0.239365052575701,0.25348617284491,0.243004816535232,0.257544495176145,0.238051320774688,0.225215413698812,0.244005859767677,0.23090101924098,0.24565854475427,0.256945401590305,0.224510293258011
REACTOME_DISEASES_OF_THE_UREA_CYCLE,-0.397698849424712,-0.246123061530765,-0.40120060030015,-0.415207603801901,-0.376188094047024,-0.44472236118059,-0.32616308154077,-0.345172586293147,-0.356178089044522,-0.365182591295648,-0.347673836918459,-0.402701350675338,-0.32216108054027
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,-0.0126501604523636,0.124642849091241,0.00326607332156091,0.0651802474190627,0.0750315581337221,0.062093764975231,-0.0073463237996437,-0.0247409581314039,0.0183771644890621,0.0524705469622674,0.0447130688790703,0.0509267748009359,-0.00302810870295831
