,C1 A,C1 B,C2,C3,C4,C5,C7
REACTOME_OAS_ANTIVIRAL_RESPONSE,0.829133810749279,0.424310238749459,-1.37482565384384,-1.10215577423343,0.678727443898274,1.11458224691305,-0.569772312232785
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,0.568170347388167,0.911181547127826,-1.19567562066222,-0.812659728540805,-0.650464110377927,-0.315323946050378,1.49477151111534
REACTOME_HCMV_LATE_EVENTS,0.392831714247161,1.15058162405148,-0.967782117508388,-1.05833084886865,-1.03688509670438,0.41666032776302,1.10292439701976
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,-0.0437626764752237,1.87713185241677,-0.887449685243473,-0.0914711680424762,-0.239618589224996,-1.15361284872393,0.538783115293329
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE,-0.0437626764752237,1.87713185241677,-0.887449685243473,-0.0914711680424762,-0.239618589224996,-1.15361284872393,0.538783115293329
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET,-0.0437626764752237,1.87713185241677,-0.887449685243473,-0.0914711680424762,-0.239618589224996,-1.15361284872393,0.538783115293329
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,0.891885730073862,1.72056120561975,-0.187438500421094,-0.548065790704954,-0.949615326694783,-1.00076813382725,0.073440815954464
REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION,0.920426380894737,0.432556147752215,-1.44922903722609,-0.863268492658085,0.244119496855896,1.3076249786269,-0.592229474245572
REACTOME_TICAM1_DEPENDENT_ACTIVATION_OF_IRF3_IRF7,0.920426380894737,0.432556147752215,-1.44922903722609,-0.863268492658085,0.244119496855896,1.3076249786269,-0.592229474245572
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,0.920426380894737,0.432556147752215,-1.44922903722609,-0.863268492658085,0.244119496855896,1.3076249786269,-0.592229474245572
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,0.920426380894737,0.432556147752215,-1.44922903722609,-0.863268492658085,0.244119496855896,1.3076249786269,-0.592229474245572
REACTOME_ETHANOL_OXIDATION,-0.0104871348512343,1.01200851314412,-0.97268175745199,-0.626606307361255,-1.28991758670183,0.634471658499681,1.25321261472251
REACTOME_NEUROTRANSMITTER_CLEARANCE,-0.0104871348512343,1.01200851314412,-0.97268175745199,-0.626606307361255,-1.28991758670183,0.634471658499681,1.25321261472251
REACTOME_PROTEIN_REPAIR,-0.280606458797642,1.45566967289897,-0.816068716206367,-0.490019915903035,-0.657020520936449,-0.643766504663956,1.43181244360848
REACTOME_IRS_ACTIVATION,0.313411080008616,0.422308150181102,0.873832587481651,0.268258636278561,-1.7556332532686,-1.00928991867182,0.88711271799049
